order_id;customer_id;product_code;quantity;unit_price;order_date;status
ORD001;CUST001;PROD001;2;25000;2023-12-01 10:30:00;completed
ORD002;CUST002;PROD002;1;150000;2023-12-01 11:15:00;pending
ORD003;CUST003;PROD001;3;25000;2023-12-01 12:00:00;completed
ORD004;CUST001;PROD003;1;80000;2023-12-01 13:45:00;shipped
ORD005;CUST004;PROD002;2;150000;2023-12-01 14:20:00;completed
ORD006;CUST005;PROD004;5;12000;2023-12-01 15:10:00;pending
ORD007;CUST002;PROD003;1;80000;2023-12-01 16:30:00;completed
ORD008;CUST006;PROD001;4;25000;2023-12-01 17:15:00;shipped
ORD009;CUST003;PROD004;2;12000;2023-12-01 18:00:00;completed
ORD010;CUST007;PROD002;1;150000;2023-12-01 19:30:00;pending
